"","name","region_focus","language","owner","parent","x_page","x_url","x_follower_n","facebook_page","facebook_url","facebook_follower_n","instagram_page","instagram_url","instagram_follower_n","threads_page","threads_url","threads_follower_n","youtube_page","youtube_url","youtube_follower_n","tiktok_page","tiktok_url","tiktok_follower_n","sum_followers"
"190","Chinese Embassy in Denmark","Denmark","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChinaInDenmark","https://twitter.com/ChinaInDenmark",2128,"","",0,"","",0,"","",0,"","",0,"","",0,2128
"191","Qian Minjian","Lebanon","Arabic","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChinainLebanon","https://twitter.com/ChinainLebanon",12700,"","",0,"","",0,"","",0,"","",0,"","",0,12700
"192","Chinese Consulate General in Vancouver","Canada","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChinainVan","https://twitter.com/ChinainVan",2168,"","",0,"","",0,"","",0,"","",0,"","",0,2168
"193","Chinese Embassy in Iraq","Iraq","Arabic","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChinaIraq","https://twitter.com/ChinaIraq",13200,"","",0,"","",0,"","",0,"","",0,"","",0,13200
"194","Chinese Embassy in United Nations (NYC)","UN","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","Chinamission2un","https://twitter.com/Chinamission2un",141500,"","",0,"","",0,"","",0,"","",0,"","",0,141500
"195","Chinese Embassy in Switzerland (UN Missions)","Switzerland","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChinaMissionGva","https://twitter.com/ChinaMissionGva",5316,"","",0,"","",0,"","",0,"","",0,"","",0,5316
"196","China.org.cn (English)","Anglosphere","English","China International Communications Group (CICG)","Central Publicity Department","chinaorgcn","https://twitter.com/chinaorgcn",1e+06,"chinaorgcn","https://www.facebook.com/chinaorgcn/",34162330,"chinaorgcnnews","https://www.instagram.com/chinaorgcnnews/",103,"","",0,"","",0,"","",0,35162433
"197","China Plus Podcasts","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","ChinaPlusPods","https://twitter.com/ChinaPlusPods",7272,"","",0,"","",0,"","",0,"","",0,"","",0,7272
"198","People's Daily China Science","Anglosphere","English","People's Daily Press","Central Committee of the Chinese Communist Party","ChinaScience","https://twitter.com/ChinaScience",2e+06,"PDChinaScience/","https://www.facebook.com/PDChinaScience/",5800000,"","",0,"","",0,"","",0,"","",0,7800000
"199","State Council Information Office (SCIO)","Anglosphere","English","State Council Information Office (SCIO)","State Council","chinascio","https://twitter.com/chinascio",55200,"","",0,"","",0,"china_scio","https://www.threads.net/@china_scio",77,"ChinaSCIO","https://www.youtube.com/@ChinaSCIO",1740,"","",0,57017
"200","Wang Xiaojian","India","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChinaSpox_India","https://twitter.com/ChinaSpox_India",12900,"","",0,"","",0,"","",0,"","",0,"","",0,12900
"201","China Today","Anglosphere","English","China International Communications Group (CICG)","Central Publicity Department","chinatoday_com","https://twitter.com/ChinaToday_com",471,"chinatodayreport","https://www.facebook.com/chinatodayreport/",14315,"","",0,"","",0,"","",0,"","",0,14786
"202","China Youth Daily","China","Chinese","China Youth Daily Press","Central Committee of the Communist Youth League","ChinaYouthOL","https://twitter.com/ChinaYouthOL",147,"","",0,"","",0,"","",0,"","",0,"","",0,147
"203","Chinese Embassy in Mali","Mali","French","Ministry of Foreign Affairs","Ministry of Foreign Affairs","Chine_au_Mali","https://twitter.com/Chine_au_Mali",4741,"AmbChineMali","https://www.facebook.com/AmbChineMali",3900,"","",0,"","",0,"","",0,"","",0,8641
"204","Chinese Embassy in Guinea","Guinea","French","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chine_guinee","https://twitter.com/chine_guinee",5545,"","",0,"","",0,"","",0,"","",0,"","",0,5545
"205","Chinese Embassy in Sénégal","Senegal","French","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineAmbassade","https://twitter.com/ChineAmbassade",1481,"","",0,"","",0,"","",0,"","",0,"","",0,1481
"206","Chinese Embassy in Djibouti","Djibouti","French","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineAmbDjibout","https://twitter.com/ChineAmbDjibout",3205,"","",0,"","",0,"","",0,"","",0,"","",0,3205
"207","Chinese Embassy in Morocco","Morocco","French","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineAmbMaroc","https://twitter.com/ChineAmbMaroc",3360,"ChineAmbMaroc","https://www.facebook.com/ChineAmbMaroc",1100,"","",0,"","",0,"","",0,"","",0,4460
"208","Liu Jin","Gambia","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseAmb_GM","https://twitter.com/ChineseAmb_GM",1617,"","",0,"","",0,"","",0,"","",0,"","",0,1617
"209","Kong Xianhua","India","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseCGMumbai","https://twitter.com/ChineseCGMumbai",1873,"","",0,"","",0,"","",0,"","",0,"","",0,1873
"210","Chinese Consulate General in Melbourne","Australia","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseCon_Mel","https://twitter.com/ChineseCon_Mel",2881,"","",0,"","",0,"","",0,"","",0,"","",0,2881
"211","Chinese Embassy in Fiji","Fiji","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseEmb_FJ","https://twitter.com/ChineseEmb_FJ",3216,"","",0,"","",0,"","",0,"","",0,"","",0,3216
"212","Chinese Embassy in Papua New Guinea","Papua New Guinea","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseEmb_PNG","https://twitter.com/ChineseEmb_PNG",6257,"ChineseEmbPNG","https://www.facebook.com/ChineseEmbPNG",2100,"","",0,"","",0,"","",0,"","",0,8357
"213","Chinese Embassy in Uganda","Uganda","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseEmb_Uga","https://twitter.com/ChineseEmb_Uga",10800,"Chinese.Emb.Uga","https://www.facebook.com/Chinese.Emb.Uga",1500,"","",0,"","",0,"","",0,"","",0,12300
"214","Chinese Embassy in Thailand","Thailand","Thai","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chineseembassy1","https://twitter.com/chineseembassy1",977,"","",0,"","",0,"","",0,"","",0,"chineseembassyinthailand","https://www.tiktok.com/@chineseembassyinthailand",0,977
"215","Chinese Embassy in Jordan","Jordan","Arabic","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseembassyJ","https://twitter.com/ChineseembassyJ",5365,"Chinaemb.Jordan","https://www.facebook.com/Chinaemb.Jordan",4900,"","",0,"","",0,"","",0,"","",0,10265
"216","Chinese Embassy in Hungary","Hungary","Hungarian","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseEmbinHU","https://twitter.com/ChineseEmbinHU",6367,"ChinaEmbHungar","https://www.facebook.com/ChinaEmbHungar",0,"","",0,"","",0,"","",0,"","",0,6367
"217","Chinese Embassy in Montenegro","Montenegro","Serbian","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseEmbinMNE","https://twitter.com/ChineseEmbinMNE",1514,"","",0,"","",0,"","",0,"","",0,"","",0,1514
"218","Chinese Embassy in Russia","Russia","Russian","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseEmbinRus","https://twitter.com/ChineseEmbinRus",27200,"AmbasadaChineiinRomania","https://www.facebook.com/AmbasadaChineiinRomania",20000,"","",0,"","",0,"","",0,"chineseembinrus","https://www.tiktok.com/@chineseembinrus",576,47776
"219","Chinese Embassy in United Kingdom (UK)","UK","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseEmbinUK","https://twitter.com/ChineseEmbinUK",43700,"","",0,"","",0,"","",0,"chineseembassyinuk4659","https://www.youtube.com/@chineseembassyinuk4659",297,"chineseembassyinuk","https://www.tiktok.com/@chineseembassyinuk",139,44136
"220","Chinese Embassy in United States","USA","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseEmbinUS","https://twitter.com/ChineseEmbinUS",118100,"ChineseEmbassyinUS","https://www.facebook.com/ChineseEmbassyinUS",55000,"","",0,"","",0,"","",0,"chineseembassyinus","https://www.tiktok.com/@chineseembassyinus",29200,202300
"221","Chinese Embassy in Kenya","Kenya","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseEmbKenya","https://twitter.com/ChineseEmbKenya",15800,"","",0,"","",0,"","",0,"","",0,"","",0,15800
"222","Chinese Embassy in Yemen","Yemen","Arabic","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseEmbtoYEM","https://twitter.com/ChineseEmbtoYEM",62700,"chineseembtoyemen","https://www.facebook.com/chineseembtoyemen",6800,"","",0,"","",0,"","",0,"","",0,69500
"223","Chinese Embassy in Tanzania","Tanzania","Swahili","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseEmbTZ","https://twitter.com/ChineseEmbTZ",15800,"","",0,"","",0,"","",0,"","",0,"","",0,15800
"224","Chinese Embassy in Estonia","Estonia","Estonian","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseEstonia","https://twitter.com/ChineseEstonia",1409,"","",0,"","",0,"","",0,"","",0,"","",0,1409
"225","Chinese Embassy in Liberia","Liberia","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseLiberia","https://twitter.com/ChineseLiberia",6373,"CNAmbLR","https://www.facebook.com/CNAmbLR",595,"","",0,"","",0,"","",0,"","",0,6968
"226","Chinese Embassy in Somalia","Somalia","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseSomalia","https://twitter.com/ChineseSomalia",12200,"chinainsa","https://www.facebook.com/chinainsa",75000,"","",0,"","",0,"","",0,"","",0,87200
"227","Chinese Embassy in Zimbabwe","Zimbabwe","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChineseZimbabwe","https://twitter.com/ChineseZimbabwe",17200,"","",0,"","",0,"","",0,"","",0,"","",0,17200
"228","Chloé Zhou","la Francophonie","French","China Media Group (CMG)","Central Publicity Department","chloezhou21","https://twitter.com/chloezhou21",897,"Chloezhoubeijing","https://www.facebook.com/Chloezhoubeijing",1e+06,"chloezhou21","https://www.instagram.com/chloezhou21/",1668,"","",0,"chloezhou11","https://www.youtube.com/channel/UCCcKEXOzJ4JsjJY8RO9d9WA",930,"","",0,1003495
"229","Chinese Embassy in Egypt","Egypt","Arabic","Ministry of Foreign Affairs","Ministry of Foreign Affairs","CHN_EGY","https://twitter.com/CHN_EGY",3092,"hineseEmbinEgypt","https://www.facebook.com/@ChineseEmbinEgypt",48000,"","",0,"","",0,"","",0,"","",0,51092
"230","Chinese Consulate General in Osaka","Japan","Japanese","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChnConsul_osaka","https://twitter.com/ChnConsul_osaka",21400,"","",0,"","",0,"","",0,"user-kr2ke5sy6b","https://www.youtube.com/@user-kr2ke5sy6b",1700,"","",0,23100
"231","Chinese Consulate General in Fukuoka","Japan","Japanese","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChnConsulateFuk","https://twitter.com/ChnConsulateFuk",2959,"","",0,"","",0,"","",0,"","",0,"","",0,2959
"232","Chinese Consulate General in Johannesburg","South Africa","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChnConsulateJhb","https://twitter.com/ChnConsulateJhb",1324,"","",0,"","",0,"","",0,"","",0,"chnconsulategeneraljhb","https://www.tiktok.com/@chnconsulategeneraljhb",56,1380
"233","Chinese Consulate General in Nagasaki","Japan","Japanese","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChnConsulateNag","https://twitter.com/ChnConsulateNag",992,"","",0,"","",0,"","",0,"","",0,"","",0,992
"234","Chinese Consulate General in Nagoya","Japan","Japanese","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChnConsulateNgo","https://twitter.com/ChnConsulateNgo",3339,"","",0,"","",0,"","",0,"user-vz3fv8md2p","https://www.youtube.com/@user-vz3fv8md2p",11,"","",0,3350
"235","Chinese Consulate General in Niigata","Japan","Japanese","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChnConsulateNgt","https://twitter.com/ChnConsulateNgt",3130,"","",0,"","",0,"","",0,"","",0,"","",0,3130
"236","Chinese Embassy in Japan","Japan","Japanese","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChnEmbassy_jp","https://twitter.com/ChnEmbassy_jp",102400,"profile.php?id=100072261466319","https://www.facebook.com/profile.php?id=100072261466319",189,"","",0,"","",0,"","",0,"chnembassy_jp","https://www.tiktok.com/@chnembassy_jp",184,102773
"237","Chinese Embassy in Sudan","Sudan","Arabic","Ministry of Foreign Affairs","Ministry of Foreign Affairs","CHNembinSudan","https://twitter.com/CHNembinSudan",6098,"","",0,"","",0,"","",0,"","",0,"","",0,6098
"238","Chinese Embassy in Suriname","Suriname","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","CHNEmbSuriname","https://twitter.com/CHNEmbSuriname",1261,"","",0,"","",0,"","",0,"","",0,"","",0,1261
"239","Liu Yuyin","UN","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ChnMission","https://twitter.com/ChnMission",1755,"","",0,"","",0,"","",0,"","",0,"","",0,1755
"240","China International Development Cooperation Agency (CIDCA)","Anglosphere","English","China International Development Cooperation Agency (CIDCA)","State Council","cidcaofficial","https://twitter.com/cidcaofficial",37900,"","",0,"","",0,"","",0,"","",0,"","",0,37900
"241","CRI Italian (Radio Cina Internazionale)","Italy","Italian","China Media Group (CMG)","Central Publicity Department","cinitalia","https://twitter.com/cinitalia",2228,"CriItaliano","https://www.facebook.com/CriItaliano/",939000,"","",0,"","",0,"CINITALIA","https://www.youtube.com/channel/UC-89ZO9I7TAj9HkZHMllgpg",3920,"","",0,945148
"242","Yangtze View World","Hubei","Chinese","Hubei Radio & Television Station (HBTV)","Hubei Provincial People's Government","cjxwh_hbtv","https://twitter.com/cjxwh_hbtv",1153,"","",0,"","",0,"","",0,"","",0,"","",0,1153
"243","CGTN Closer to China","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","closertochina","https://twitter.com/closertochina",8795,"cgtnclosertochina","https://www.facebook.com/cgtnclosertochina",167000,"","",0,"","",0,"","",0,"","",0,175795
"244","China Content Center","China","Chinese","Shanghai Guanchazhe Information Technology Co.,Ltd","Shanghai Academy of Social Sciences (SASS)","CNContentCenter","https://twitter.com/CNContentCenter",43200,"","",0,"","",0,"","",0,"chinacontentcenter","https://www.youtube.com/@chinacontentcenter",6e+05,"","",0,643200
"245","China News Service (CNS) Agency","China","Chinese","China News Service (CNS)","United Front Work Department","CNS1952","https://twitter.com/CNS1952",494700,"ChinaNewsService","https://www.facebook.com/ChinaNewsService",1200000,"","",0,"","",0,"cnsvideo","https://www.youtube.com/@cnsvideo",193000,"chinanewsservice","https://www.tiktok.com/@chinanewsservice",32300,1920000
"246","CRI Polish","Poland","Polish","China Media Group (CMG)","Central Publicity Department","CoChwila","https://twitter.com/CoChwila",567,"redakcjapolska","https://www.facebook.com/redakcjapolska",388000,"","",0,"","",0,"ChinyDziendobry","https://www.youtube.com/channel/UC6sQzpQJP-juqHyKLMF-Jyw",896,"","",0,389463
"247","Xu Zhike (Coco Studio)","la Francophonie","French","China Media Group (CMG)","Central Publicity Department","CocoStudio4","https://twitter.com/CocoStudio4",982,"CocoStudioenChine/","https://www.facebook.com/CocoStudioenChine/",1300000,"cocostudioenchine","https://www.instagram.com/cocostudioenchine/",4256,"","",0,"CocoStudioenChine","https://www.youtube.com/channel/UC2bFxuLClcjHadRnrKvxweQ",156000,"cocoenchine","https://www.tiktok.com/@cocoenchine",142100,1603338
"248","Chinese Consulate General in Strasbourg","France","French","Ministry of Foreign Affairs","Ministry of Foreign Affairs","consulat_de","https://twitter.com/consulat_de",2457,"","",0,"","",0,"","",0,"","",0,"","",0,2457
"249","Chinese Consulate General in San Francisco","USA","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ConsulateSan","https://twitter.com/ConsulateSan",4221,"","",0,"chineseconsulate","https://www.instagram.com/chineseconsulate/",462,"","",0,"user-cq4mw4or9e","https://www.youtube.com/@user-cq4mw4or9e",16,"","",0,4699
"250","Chinese Consulate General in Barcelona","Spain","Spanish","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ConsulChinaBcn","https://twitter.com/ConsulChinaBcn",4495,"","",0,"","",0,"","",0,"","",0,"","",0,4495
"251","Chinese Consulate General in Rio de Janeiro","Brazil","Portuguese","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ConsulChinaRJ","https://twitter.com/ConsulChinaRJ",2474,"","",0,"","",0,"","",0,"","",0,"","",0,2474
"252","CMG Hindi","India","Hindi","China Media Group (CMG)","Central Publicity Department","cri_hindi","https://twitter.com/cri_hindi",52,"cmghindiservice","https://www.facebook.com/cmghindiservice",1.1e+07,"","",0,"","",0,"","",0,"","",0,11000052
"253","CRI Türkçe","Türkiye","Turkish","China Media Group (CMG)","Central Publicity Department","CRI_Turkish","https://twitter.com/CRI_Turkish",85200,"criturkfm","https://www.facebook.com/criturkfm",116000,"criturkish","https://www.instagram.com/criturkish/",56500,"criturkish","https://www.threads.net/@criturkish",493,"criturk","https://www.youtube.com/criturk",44400,"","",0,302593
"254","CRI Arabic","MENA","Arabic","China Media Group (CMG)","Central Publicity Department","criarabic","https://twitter.com/criarabic",22200,"criarabic1","https://www.facebook.com/criarabic1",2700000,"","",0,"","",0,"","",0,"","",0,2722200
"255","CRI Breaking News","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","CRIbrk","https://twitter.com/CRIbrk",437,"","",0,"","",0,"","",0,"","",0,"","",0,437
"256","CRI Français","la Francophonie","French","China Media Group (CMG)","Central Publicity Department","CriFrancais","https://twitter.com/CriFrancais",72900,"profile.php?id=100064674103235&spm=C88696.PW9lL1E2rNNB.0.0&ref=ts&fref=ts","https://www.facebook.com/profile.php?id=100064674103235&spm=C88696.PW9lL1E2rNNB.0.0&ref=ts&fref=ts",2500000,"cri_francais","https://www.instagram.com/cri_francais/",11000,"","",0,"","",0,"","",0,2583900
"257","CRI German","Germany","German","China Media Group (CMG)","Central Publicity Department","CRIGerman1","https://twitter.com/CRIGerman1",54,"CRIGerman","https://www.facebook.com/CRIGerman",897000,"","",0,"","",0,"","",0,"","",0,897054
"258","CRI Greek","Greece","Greek","China Media Group (CMG)","Central Publicity Department","crigreek","https://twitter.com/crigreek",224,"profile.php?id=100068848134907","https://www.facebook.com/profile.php?id=100068848134907",155000,"","",0,"","",0,"","",0,"","",0,155224
"259","CRI Hausa","Nigeria","Hausa","China Media Group (CMG)","Central Publicity Department","CRIHausaRadio","https://twitter.com/CRIHausaRadio",1275,"CGTNHausa","https://www.facebook.com/CGTNHausa",1400000,"","",0,"","",0,"","",0,"","",0,1401275
"260","CRI Japanese","Japan","Japanese","China Media Group (CMG)","Central Publicity Department","CRIjpn","https://twitter.com/CRIjpn",23300,"japanese.cri","https://www.facebook.com/japanese.cri",5900000,"","",0,"","",0,"cri8511","https://www.youtube.com/channel/UCAq3au5J8QghC2nuzaDdHZA",3680,"","",0,5926980
"261","CRI Pashto","Afghanistan","Pashto","China Media Group (CMG)","Central Publicity Department","cripashto","https://twitter.com/cripashto",59,"pushtu.cri.cn","https://www.facebook.com/pushtu.cri.cn/",3200000,"","",0,"","",0,"","",0,"","",0,3200059
"262","CRI Sinhala","Sri Lanka","Sinhalese","China Media Group (CMG)","Central Publicity Department","CRIsinhala","https://twitter.com/CRIsinhala",126,"crisrilanka","https://www.facebook.com/crisrilanka",1500000,"","",0,"","",0,"","",0,"","",0,1500126
"263","CRI Urdu","Pakistan","Urdu","China Media Group (CMG)","Central Publicity Department","criurdu","https://twitter.com/criurdu",82,"CRIurdu","https://www.facebook.com/CRIurdu/",3200,"","",0,"","",0,"urducri6294","https://www.youtube.com/@urducri6294",3870,"","",0,7152
"264","China State Construction (CSCEC)","Anglosphere","English","China State Construction Engineering (CSCEC)","State Council","CSCECNEWS","https://twitter.com/CSCECNEWS",128900,"CSCECNews","https://www.facebook.com/CSCECNews/",1100000,"china_state_construction","https://www.instagram.com/china_state_construction/",34400,"","",0,"CSCECNews","https://www.youtube.com/@CSCECNews",5650,"","",0,1268950
"265","Zhu Danni (Danni Zhu)","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","Danni_Zhu131","https://twitter.com/Danni_Zhu131",21,"","",0,"iamdanni131","https://www.instagram.com/iamdanni131/",54,"iamdanni131","https://www.threads.net/@iamdanni131",15,"","",0,"","",0,90
"266","CRI Mongolian","Mongolia","Mongolian","China Media Group (CMG)","Central Publicity Department","delkhiintsag","https://twitter.com/delkhiintsag",0,"mongolradio","https://www.facebook.com/mongolradio",5700,"","",0,"","",0,"","",0,"","",0,5700
"267","Wang Di'er (Deer Wang)","Anglosphere","English","Xinhua News Agency","State Council","dier0806","https://twitter.com/dier0806",258,"Deer-Wang-111316794562651","https://www.facebook.com/Deer-Wang-111316794562651",2600,"w.dier","https://www.instagram.com/w.dier/",139,"","",0,"dierwang4537","https://www.youtube.com/channel/UCQNeX7sy9LdWhlY-byDmQwg",309,"","",0,3306
"268","Ding Heng","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","DingHeng6","https://twitter.com/DingHeng6",67,"","",0,"","",0,"","",0,"","",0,"","",0,67
"269","DIOC","China","Chinese","Department of International Organizations and Conferences (DIOC)","Ministry of Foreign Affairs","DIOC_MFA_China","https://twitter.com/DIOC_MFA_China",707,"","",0,"","",0,"","",0,"","",0,"","",0,707
"270","Discover Binhai","Anglosphere","English","Department of Culture and Tourism of Tianjin Binhai District","People's Government of Tianjin Binhai New Area","discoverbinhai","https://twitter.com/discoverbinhai",5112,"DiscoverBinhai/","https://www.facebook.com/DiscoverBinhai/",1300,"","",0,"","",0,"","",0,"discoverbinhai","https://www.tiktok.com/@discoverbinhai",36,6448
"271","Discover Guangxi","Anglosphere","English","Department of Culture and Tourism of Guangxi Zhuang Autonomous Region","People's Government of Guangxi Zhuang Autonomous Region","DiscoverGuangxi","https://twitter.com/DiscoverGuangxi",10700,"DiscoverGuangxi","https://www.facebook.com/DiscoverGuangxi",115000,"discover_guangxi","https://www.instagram.com/discover_guangxi/",2009,"","",0,"","",0,"discoverguangxichina","https://www.tiktok.com/@discoverguangxichina",9,127718
"272","Discover Jilin","Anglosphere","English","Department of Culture and Tourism of Jilin Province","Jilin Provincial People's Government","DiscoverJilin","https://twitter.com/DiscoverJilin",3627,"discoverjilin","https://www.facebook.com/discoverjilin/",94000,"discoverjilin","https://www.instagram.com/discoverjilin/",42700,"","",0,"DiscoverJilin","https://www.youtube.com/DiscoverJilin",1400,"discoverjilin","https://www.tiktok.com/@discoverjilin",5883,147610
"273","Discover Nanjing","Anglosphere","English","Department of Culture and Tourism of Nanjing City","Nanjing Municipal People's Government","DiscoverNanjing","https://twitter.com/DiscoverNanjing",133100,"DiscoverNanjing","https://www.facebook.com/DiscoverNanjing/",1300000,"","",0,"","",0,"","",0,"discovernanjing","https://www.tiktok.com/@discovernanjing",26600,1459700
"274","Discover Zhejiang","Anglosphere","English","Department of Culture and Tourism of Zhejiang Province","People's Government of Zhejiang Province","discoverzj","https://twitter.com/discoverzj",80000,"zhejiangtourismbureau","https://www.facebook.com/zhejiangtourismbureau",3600,"discoverzhejiang","https://www.instagram.com/discoverzhejiang/",76200,"","",0,"","",0,"discoverzhejiang","https://www.tiktok.com/@discoverzhejiang",8,159808
"275","Li Dongning","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","Dongning","https://twitter.com/Dongning",336,"","",0,"dongningli","https://www.instagram.com/dongningli/",87,"","",0,"","",0,"","",0,423
"276","FM98 Dosti Channel","Pakistan","Urdu","China Media Group (CMG)","Central Publicity Department","DostiFM98","https://twitter.com/DostiFM98",49800,"FM98DostiChannel","https://www.facebook.com/FM98DostiChannel",1.1e+07,"","",0,"","",0,"","",0,"","",0,11049800
"277","DotDot News","Hong Kong","English","Hong Kong Ta Kung Wen Wei Media Group (HKTKWW)","Hong Kong Liaison Office of the Central Government ","dotdotnews111","https://twitter.com/dotdotnews111",6253,"","",0,"","",0,"","",0,"dotdotnewsEnglish","https://www.youtube.com/channel/UCW1IT0yzVG3xEonao-nHaxg",4690,"","",0,10943
"278","Zhao Qinghua","Switzerland","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","Dr_ZhaoQinghua","https://twitter.com/Dr_ZhaoQinghua",1412,"","",0,"","",0,"","",0,"","",0,"","",0,1412
"279","Dragon TV","Shanghai","Chinese","Shanghai Media Group (SMG)","Shanghai Municipal Committee","dragontv","https://twitter.com/dragontv",189,"smgdragontv","https://www.facebook.com/smgdragontv/",748000,"","",0,"","",0,"SMGDragonTV","https://www.youtube.com/@SMGDragonTV/",930000,"","",0,1678189
"280","Zhao Yanbo","Botswana","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","DrZhaoYanbo","https://twitter.com/DrZhaoYanbo",2733,"","",0,"","",0,"","",0,"","",0,"","",0,2733
"281","Zhao Yongchen","Grenada","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","DrZhaoyongchen","https://twitter.com/DrZhaoyongchen",4458,"","",0,"","",0,"","",0,"","",0,"","",0,4458
"282","Du Ping","Anglosphere","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","dupingCHN","https://twitter.com/dupingCHN",2376,"","",0,"","",0,"","",0,"","",0,"","",0,2376
"283","Discover Xinjiang","Xinjiang","English","Beijing Jiandanshiji Culture Media Co., Ltd","unknown","DXinjiang","https://twitter.com/DXinjiang",52600,"DiscoverXinjiang","https://www.facebook.com/DiscoverXinjiang",1500000,"","",0,"discoverxinjiang","https://www.threads.net/@discoverxinjiang",73,"","",0,"discoverxinjiang","https://www.tiktok.com/@discoverxinjiang",12,1552685
"284","China News Service Net (eCNS)","China","Chinese","China News Service (CNS)","United Front Work Department","Echinanews","https://twitter.com/Echinanews",645100,"echinanews","https://www.facebook.com/echinanews/",1400000,"","",0,"","",0,"cnsvideo","https://www.youtube.com/@cnsvideo",192000,"","",0,2237100
"285","Chinese Embassy in Malawi (Economic Counsellor)","Malawi","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","EconomicMalawi","https://twitter.com/EconomicMalawi",96,"","",0,"","",0,"","",0,"","",0,"","",0,96
"286","Economic Daily","Anglosphere","English","Economic Daily Newspaper Group","State Council","EDNewsChina","https://twitter.com/EDNewsChina",6405,"EDNewsChina","https://www.facebook.com/EDNewsChina",3500000,"","",0,"","",0,"","",0,"","",0,3506405
"287","Chinese Embassy in Brazil","Brazil","Portuguese","Ministry of Foreign Affairs","Ministry of Foreign Affairs","EmbaixadaChina","https://twitter.com/EmbaixadaChina",119900,"","",0,"embaixadachina","https://www.instagram.com/embaixadachina/",120000,"","",0,"EmbaixadadaChinanoBrasil","https://www.youtube.com/@EmbaixadadaChinanoBrasil",8510,"","",0,248410
"288","Chinese Embassy in Ecuador","Ecuador","Spanish","Ministry of Foreign Affairs","Ministry of Foreign Affairs","EmbajadaChinaEc","https://twitter.com/EmbajadaChinaEc",8261,"","",0,"","",0,"","",0,"","",0,"","",0,8261
"289","Chinese Embassy in El Salvador","El Salvador","Spanish","Ministry of Foreign Affairs","Ministry of Foreign Affairs","EmbajadaChinaSV","https://twitter.com/EmbajadaChinaSV",25400,"","",0,"","",0,"","",0,"","",0,"","",0,25400
"290","Wang Gang","Uruguay","Spanish","Ministry of Foreign Affairs","Ministry of Foreign Affairs","embajadorcn_uy","https://twitter.com/embajadorcn_uy",4711,"","",0,"","",0,"","",0,"","",0,"","",0,4711
"291","Chinese Embassy in Tonga","Tonga","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","embassy_chinese","https://twitter.com/embassy_chinese",2533,"","",0,"","",0,"","",0,"","",0,"","",0,2533
